RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
,Danuel House Jr.UTAH/NY/HOU,SF,42,17.3,5.9,1.9,4.7,40.4,1.0,2.8,37.6,1.0,1.4,75.9,2.6,1.0,0.5,0.4,0.8,0,0,10.60
,Danny GreenPHI,SF,62,21.8,5.9,2.0,5.2,39.4,1.7,4.4,38.0,0.2,0.2,78.6,2.5,1.0,1.0,0.6,0.7,0,0,9.53
,Kira Lewis Jr.NO,PG,24,14.2,5.9,2.5,6.1,40.4,0.5,2.4,22.4,0.4,0.5,83.3,1.6,2.0,0.5,0.0,1.1,0,0,9.83
,CJ EllebyPOR,SG,58,20.2,5.8,2.1,5.3,39.3,0.6,2.2,29.4,1.0,1.4,71.4,3.9,1.5,0.6,0.3,1.0,0,0,9.26
,Bismack BiyomboPHX,C,36,14.1,5.8,2.4,4.0,59.3,0.0,0.0,0.0,1.1,2.0,53.5,4.6,0.6,0.3,0.7,0.7,6,0,17.30
,Luka GarzaDET,C,32,12.2,5.8,2.1,4.6,44.9,0.5,1.5,32.7,1.2,1.9,62.3,3.1,0.6,0.3,0.2,0.6,2,0,15.60
,Xavier MoonLAC,PG,10,13.7,5.8,2.5,5.1,49.0,0.5,1.4,35.7,0.3,0.5,60.0,1.4,2.4,0.7,0.3,0.6,0,0,16.27
,Cassius StanleyDET,G,9,17.2,5.8,2.1,5.1,41.3,0.4,1.9,23.5,1.1,1.1,100.0,2.1,0.4,0.6,0.2,0.7,0,0,8.07
,Joshua PrimoSA,SG,50,19.3,5.8,2.0,5.4,37.4,0.8,2.7,30.7,0.9,1.2,74.6,2.3,1.6,0.4,0.5,1.1,0,0,7.18
,Eric PaschallUTAH,F,58,12.7,5.8,2.0,4.1,48.5,0.7,1.9,37.0,1.1,1.5,76.7,1.8,0.6,0.2,0.1,0.5,0,0,13.90
,Carsen EdwardsDET,PG,4,19.8,5.8,2.3,7.5,30.0,1.0,4.0,25.0,0.3,0.3,100.0,1.5,3.5,0.5,0.0,1.3,0,0,5.56
,Matisse ThybullePHI,SG,66,25.5,5.7,2.3,4.5,50.0,0.7,2.2,31.3,0.5,0.7,79.1,2.3,1.1,1.7,1.1,0.6,0,0,11.22
,Justise WinslowPOR/LAC,PF,48,16.1,5.7,2.3,5.4,42.8,0.3,1.4,22.7,0.8,1.4,59.1,4.2,1.8,0.7,0.5,1.0,2,0,13.09
,Kelan MartinIND/BOS,SG,30,15.0,5.7,2.3,5.7,40.9,0.7,2.5,29.3,0.3,0.4,69.2,1.8,0.7,0.4,0.3,0.5,0,0,9.44
,Naji MarshallNO,SF,55,13.4,5.7,2.0,4.9,40.5,0.4,1.9,20.0,1.3,1.7,79.6,2.6,1.1,0.6,0.1,0.8,1,0,12.33
,Keita Bates-DiopSA,SF,59,16.2,5.7,2.3,4.5,51.7,0.3,0.9,30.9,0.8,1.0,75.4,3.9,0.7,0.5,0.2,0.8,1,0,12.44
,Keifer SykesIND,G,32,17.7,5.6,2.2,5.9,36.3,0.8,2.8,30.0,0.5,0.5,88.2,1.4,1.9,0.4,0.1,1.0,0,0,5.97
,Saben LeeDET,G,37,16.3,5.6,1.9,4.8,39.0,0.4,1.6,23.3,1.5,1.9,78.9,2.4,2.9,1.0,0.3,1.0,1,0,13.85
,Derrick Jones Jr.CHI,SF,51,17.6,5.6,2.1,3.8,53.8,0.4,1.2,32.8,1.1,1.4,80.0,3.3,0.6,0.5,0.6,0.6,0,0,12.98
,Dennis Smith Jr.POR,PG,37,17.3,5.6,2.1,5.1,41.8,0.2,0.7,22.2,1.1,1.7,65.6,2.4,3.6,1.2,0.3,1.4,0,0,13.22
,Davis BertansWSH/DAL,SF,56,14.4,5.6,1.8,4.9,36.0,1.4,4.1,33.5,0.6,0.7,90.0,2.1,0.6,0.3,0.2,0.3,0,0,9.44
,James JohnsonBKN,PF,62,19.2,5.5,2.3,5.0,46.9,0.4,1.4,27.1,0.5,0.9,52.7,3.5,2.1,0.5,0.5,0.8,1,0,10.29
,Greg MonroeMIL/UTAH/MIN/WSH,C,14,13.9,5.4,2.3,4.1,56.1,0.0,0.0,0.0,0.9,1.6,52.2,4.6,1.6,0.6,0.7,0.9,0,0,18.21
,Wenyen GabrielLAC/LAL/NO/BKN,F,26,13.8,5.4,2.1,4.2,49.1,0.3,1.1,28.6,1.0,1.6,59.5,3.7,0.5,0.2,0.4,0.6,1,0,12.56
,P.J. DozierDEN,SG,18,18.9,5.4,2.0,5.5,36.4,0.8,2.7,31.3,0.6,0.7,76.9,3.5,1.6,0.6,0.3,0.7,0,0,8.73
,Trey Murphy IIINO,SG,62,13.9,5.4,1.8,4.5,39.3,1.1,3.0,38.2,0.7,0.8,88.2,2.4,0.6,0.4,0.1,0.3,0,0,12.53
,Rodney McGruderDET,G,51,14.8,5.4,1.9,4.4,43.6,1.1,2.9,39.7,0.4,0.5,73.1,2.2,0.9,0.4,0.1,0.5,0,0,11.60
,D.J. AugustinLAL/HOU,G,55,16.1,5.3,1.7,4.0,42.3,1.2,3.0,41.5,0.7,0.8,88.4,1.2,1.9,0.3,0.0,1.0,0,0,9.74
,Omer YurtsevenMIA,C,56,12.6,5.3,2.3,4.4,52.6,0.0,0.2,9.1,0.7,1.1,62.3,5.3,0.9,0.3,0.4,0.7,8,0,17.46
,Armoni BrooksTOR/HOU,G,54,15.6,5.3,1.8,5.4,33.9,1.4,4.6,29.7,0.3,0.4,85.7,1.9,1.1,0.5,0.2,0.5,0,0,8.45
,Derrick FavorsOKC,F,39,16.7,5.3,2.4,4.7,51.6,0.1,0.4,12.5,0.4,0.6,64.0,4.7,0.6,0.4,0.3,0.2,1,0,13.61
,Dean WadeCLE,PF,51,19.2,5.3,1.9,4.3,45.6,1.0,2.8,35.9,0.4,0.6,66.7,2.9,1.0,0.6,0.1,0.3,1,0,10.17
,Garrett TempleNO,SF,59,18.6,5.2,1.9,5.0,37.6,1.0,3.1,31.9,0.5,0.7,68.3,2.4,1.3,0.7,0.4,0.7,0,0,8.67
,Cody ZellerPOR,C,27,13.1,5.2,1.9,3.3,56.7,0.0,0.1,0.0,1.4,1.8,77.6,4.6,0.8,0.3,0.2,0.7,0,0,17.27
,Facundo CampazzoDEN,G,65,18.2,5.1,1.6,4.6,36.1,0.9,3.0,30.1,0.9,1.2,76.9,1.8,3.4,1.0,0.4,1.0,2,0,11.16
,Trey BurkeDAL,PG,42,10.5,5.1,2.0,5.1,39.1,0.6,2.0,31.7,0.5,0.5,87.0,0.8,1.4,0.3,0.0,0.6,0,0,10.04
,Wesley MatthewsMIL,SG,49,20.4,5.1,1.8,4.5,39.5,1.1,3.2,33.8,0.4,0.6,78.6,1.9,0.7,0.5,0.2,0.4,0,0,6.97
,DeAndre' BembryMIL/BKN,SG,56,18.3,5.1,2.2,3.9,56.1,0.3,0.6,41.7,0.4,0.6,60.0,2.9,1.2,0.9,0.4,0.6,0,0,11.90
,David NwabaHOU,SF,46,13.2,5.1,1.8,3.8,48.3,0.3,1.1,30.6,1.0,1.5,71.6,3.3,0.8,0.6,0.4,0.5,0,0,15.37
,Ignas BrazdeikisORL,SF,42,12.8,5.0,1.9,4.5,43.1,0.6,2.1,31.0,0.5,0.8,65.6,1.7,0.9,0.2,0.1,0.4,0,0,10.30
,Jock LandaleSA,C,54,10.9,4.9,1.9,3.8,49.5,0.5,1.6,32.6,0.6,0.8,82.9,2.6,0.8,0.2,0.3,0.6,1,0,16.10
,John KoncharMEM,SG,72,17.9,4.8,1.9,3.6,51.5,0.7,1.8,41.3,0.4,0.7,55.1,4.6,1.5,0.6,0.3,0.4,3,1,13.98
,Rajon RondoLAL/CLE,PG,39,17.9,4.8,1.7,4.5,38.6,0.8,2.3,35.2,0.5,0.7,73.1,2.8,4.4,0.8,0.2,1.7,1,0,10.87
,Josh GreenDAL,SG,67,15.5,4.8,1.9,3.8,50.8,0.4,1.2,35.9,0.5,0.7,68.9,2.4,1.2,0.7,0.2,0.7,1,0,11.95
,Xavier TillmanMEM,C,53,13.2,4.8,1.8,4.1,45.4,0.2,0.9,20.4,0.9,1.3,64.8,3.0,1.2,0.9,0.3,0.6,0,0,15.18
,Brandon GoodwinCLE,G,36,13.9,4.8,1.8,4.3,41.6,0.5,1.5,34.5,0.7,1.1,63.2,1.9,2.5,0.7,0.0,1.0,1,0,11.88
,David Duke Jr.BKN,SF,22,15.5,4.7,1.8,4.9,36.1,0.4,1.7,24.3,0.8,1.0,81.0,3.0,0.8,0.6,0.3,0.4,2,0,10.07
,Udoka AzubuikeUTAH,C,17,11.5,4.7,2.2,2.9,75.5,0.0,0.0,0.0,0.4,0.6,54.5,4.2,0.0,0.1,0.6,0.7,1,0,17.62
,Greg Brown IIIPOR,PF,48,13.3,4.7,1.7,4.0,42.6,0.4,1.3,31.1,0.9,1.4,67.7,2.8,0.7,0.5,0.5,0.8,0,0,11.05
,Cameron McGriffPOR,F,3,15.3,4.7,1.7,4.7,35.7,0.7,2.0,33.3,0.7,0.7,100.0,5.0,1.0,0.0,0.3,0.0,0,0,12.54
,Maurice HarklessSAC,SF,47,18.4,4.6,1.8,3.9,45.9,0.7,2.1,30.7,0.4,0.6,71.4,2.4,0.5,0.6,0.5,0.7,1,0,7.69
,James BouknightCHA,SG,31,9.8,4.6,1.6,4.5,34.8,0.5,1.6,34.7,0.9,1.0,87.1,1.7,0.8,0.2,0.0,0.5,0,0,10.14
,Svi MykhailiukTOR,SG,56,12.8,4.6,1.6,4.2,38.9,0.7,2.4,30.6,0.6,0.7,86.5,1.6,0.8,0.5,0.1,0.6,0,0,9.64
,Romeo LangfordBOS/SA,SG,48,16.1,4.5,1.7,4.0,43.5,0.6,1.8,34.1,0.5,0.9,54.8,2.3,0.4,0.5,0.3,0.3,0,0,9.26
,Marquese ChrissDAL,SF,34,10.2,4.5,1.8,3.9,46.3,0.2,0.7,32.0,0.6,1.0,66.7,3.0,0.5,0.4,0.4,0.5,0,0,14.84
,Louis KingSAC,PF,10,10.4,4.5,1.5,4.7,31.9,0.8,2.7,29.6,0.7,1.0,70.0,1.2,0.9,0.2,0.1,0.0,0,0,8.19
,Khem BirchTOR,C,55,18.0,4.5,1.8,3.6,48.5,0.0,0.3,0.0,1.0,1.3,74.6,4.3,1.0,0.5,0.5,0.5,0,0,13.23
,Delon WrightATL,SG,77,18.9,4.4,1.6,3.5,45.4,0.6,1.5,37.9,0.7,0.8,85.7,2.9,2.4,1.2,0.2,0.6,0,0,13.81
,Jabari ParkerBOS,PF,12,9.3,4.4,1.5,3.2,47.4,0.7,1.3,50.0,0.8,0.8,100.0,2.3,0.5,0.3,0.1,0.7,0,0,14.86
,Taj GibsonNY,F,52,18.2,4.4,1.7,3.2,51.8,0.3,0.7,39.5,0.8,1.0,80.8,4.4,0.6,0.4,0.8,0.5,0,0,12.03
,Moses MoodyGS,SG,52,11.7,4.4,1.5,3.5,43.7,0.8,2.1,36.4,0.5,0.7,77.8,1.5,0.4,0.1,0.2,0.3,0,0,10.51
,Timothe Luwawu-CabarrotATL,SG,52,13.2,4.4,1.4,3.6,39.8,0.8,2.3,36.1,0.7,0.8,85.4,1.6,0.8,0.3,0.1,0.4,0,0,9.36
,Davon ReedDEN,SG,48,13.9,4.4,1.7,3.4,50.3,0.8,1.8,43.0,0.2,0.3,66.7,2.3,1.1,0.5,0.2,0.3,0,0,12.20
,Mamadi DiakiteOKC,F,13,14.5,4.3,1.9,3.6,53.2,0.0,0.4,0.0,0.5,0.8,54.5,4.5,0.2,0.4,0.7,0.5,0,0,11.68
,Trevelin QueenHOU,SG,10,7.4,4.3,1.5,3.3,45.5,0.9,2.4,37.5,0.4,0.4,100.0,1.6,0.4,0.5,0.1,0.7,0,0,18.25
,Malachi FlynnTOR,PG,44,12.2,4.3,1.6,4.2,39.3,0.7,2.0,33.3,0.3,0.5,62.5,1.4,1.6,0.5,0.1,0.3,0,0,11.73
,DeAndre JordanLAL/PHI,C,48,13.0,4.3,1.9,3.0,64.3,0.0,0.0,0.0,0.5,0.8,55.0,5.5,0.4,0.3,0.7,0.8,0,0,17.20
,Yuta WatanabeTOR,SF,38,11.7,4.3,1.5,3.6,40.6,0.7,2.1,34.2,0.6,1.1,60.0,2.4,0.6,0.3,0.4,0.5,2,0,11.50
,Troy Brown Jr.CHI,SF,66,16.0,4.3,1.6,3.9,41.9,0.7,2.0,35.3,0.3,0.4,76.9,3.1,1.0,0.5,0.1,0.4,1,0,10.16
,Moses BrownCLE/DAL,C,40,8.6,4.3,1.6,2.7,59.3,0.0,0.0,0.0,1.1,1.8,59.7,3.4,0.0,0.2,0.4,0.5,3,0,18.59
,Boban MarjanovicDAL,C,23,5.6,4.3,1.8,3.0,60.0,0.0,0.2,25.0,0.6,1.0,59.1,1.7,0.1,0.0,0.1,0.7,0,0,18.65
,Lindell WiggintonMIL,G,19,10.5,4.2,1.4,3.2,42.6,0.5,1.4,34.6,1.0,1.8,54.3,1.3,1.2,0.3,0.1,0.6,0,0,10.25
,Rayjon TuckerMIL/MIN/DEN,G,5,14.2,4.2,1.2,1.8,66.7,0.8,1.0,80.0,1.0,1.4,71.4,1.6,2.0,0.8,0.0,0.2,0,0,17.67
,Jevon CarterMIL/BKN,PG,66,13.7,4.2,1.5,3.8,38.7,1.0,2.6,38.8,0.2,0.3,83.3,1.7,1.5,0.4,0.2,0.5,0,0,9.62
,Sam MerrillMEM,SG,6,9.7,4.2,1.3,4.0,33.3,1.2,3.8,30.4,0.3,0.7,50.0,1.2,0.7,0.0,0.0,0.3,0,0,7.52
,James Ennis IIILAC/BKN/DEN,F,7,8.0,4.1,1.6,3.4,45.8,0.4,1.1,37.5,0.6,0.7,80.0,1.7,0.4,0.3,0.3,0.3,0,0,17.78
,Frank NtilikinaDAL,PG,58,11.8,4.1,1.5,3.8,39.9,0.7,1.9,34.2,0.4,0.4,96.0,1.4,1.2,0.5,0.1,0.5,0,0,10.41
,Vlatko CancarDEN,SF,15,11.7,4.1,1.5,2.7,56.1,0.5,0.8,58.3,0.6,0.9,64.3,2.1,1.1,0.1,0.2,0.6,0,0,12.72
,Santi AldamaMEM,PF,32,11.3,4.1,1.7,4.1,40.2,0.2,1.5,12.5,0.6,1.0,62.5,2.7,0.7,0.2,0.3,0.5,2,0,10.26
,Anthony GillWSH,PF,44,10.5,4.1,1.4,2.5,56.9,0.3,0.6,53.8,1.0,1.2,80.8,1.9,0.6,0.1,0.3,0.4,0,0,14.76
,Juan Toscano-AndersonGS,SF,73,13.6,4.1,1.6,3.2,48.9,0.4,1.2,32.2,0.5,1.0,57.1,2.4,1.7,0.7,0.2,0.9,0,0,11.04
,Markus HowardDEN,PG,31,5.7,4.1,1.3,3.3,38.6,0.9,2.3,40.0,0.6,0.7,87.0,0.4,0.2,0.3,0.0,0.2,0,0,16.19
,Mychal MulderMIA/ORL,G,17,14.1,4.1,1.4,4.5,31.2,1.0,3.2,31.5,0.2,0.2,100.0,1.4,0.3,0.2,0.1,0.5,0,0,3.72
,Matt ThomasCHI,SG,40,11.5,4.0,1.4,3.4,41.0,0.9,2.3,38.5,0.4,0.5,80.0,1.3,0.5,0.2,0.1,0.2,0,0,9.89
,Andre IguodalaGS,F,31,19.5,4.0,1.5,3.9,38.0,0.5,2.4,23.0,0.5,0.6,75.0,3.2,3.7,0.9,0.7,0.9,0,0,12.29
,Trevor ArizaLAL,SF,24,19.3,4.0,1.4,4.1,33.3,0.8,3.1,27.0,0.4,0.8,55.6,3.4,1.1,0.5,0.3,0.5,0,0,6.99
,Scotty HopsonOKC,G,1,18.0,4.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,0,0.12
,Gabe YorkIND,G,2,10.5,4.0,1.0,3.5,28.6,0.5,3.0,16.7,1.5,2.5,60.0,1.0,2.0,1.0,0.5,0.5,0,0,12.76
,Micah PotterDET,C,3,10.3,4.0,1.7,3.7,45.5,0.0,0.7,0.0,0.7,0.7,100.0,3.0,0.0,0.3,0.3,0.3,0,0,13.67
,Mac McClungLAL/CHI,SG,2,12.0,4.0,1.5,3.0,50.0,0.5,1.5,33.3,0.5,0.5,100.0,1.5,0.5,0.5,0.5,1.5,0,0,5.19
,Kyle GuyMIA,SG,19,9.8,3.9,1.4,3.4,40.0,0.7,2.1,35.0,0.4,0.6,66.7,0.9,0.9,0.4,0.1,0.7,0,0,9.56
,Didi LouzadaPOR/NO,SF,9,14.3,3.9,1.3,3.7,36.4,1.0,2.6,39.1,0.2,0.2,100.0,1.9,0.6,0.2,0.2,0.6,0,0,6.40
,Jamorko PickettDET,F,13,13.5,3.8,1.4,3.8,36.0,1.0,3.0,33.3,0.1,0.2,50.0,2.5,0.5,0.0,0.5,0.4,0,0,7.63
,Admiral SchofieldORL,SF,38,12.3,3.8,1.4,3.4,41.9,0.7,2.1,32.9,0.3,0.4,80.0,2.3,0.7,0.1,0.1,0.6,0,0,7.56
,Jared ButlerUTAH,SG,42,8.6,3.8,1.5,3.6,40.4,0.7,2.1,31.8,0.3,0.4,68.8,1.1,1.5,0.4,0.2,0.8,0,0,12.14
,Malcolm HillATL/CHI,F,19,11.2,3.8,1.3,2.7,46.2,0.7,1.9,36.1,0.6,0.7,78.6,1.8,0.4,0.4,0.2,0.2,0,0,12.74
,Aaron NesmithBOS,SF,52,11.0,3.8,1.4,3.5,39.6,0.6,2.2,27.0,0.4,0.5,80.8,1.7,0.4,0.4,0.1,0.6,0,0,7.35
,Jordan McLaughlinMIN,PG,62,14.5,3.8,1.4,3.2,44.0,0.4,1.4,31.8,0.5,0.6,75.0,1.5,2.9,0.9,0.2,0.6,1,0,13.47
,Sandro MamukelashviliMIL,PF,41,9.9,3.8,1.4,2.8,49.6,0.5,1.3,42.3,0.4,0.5,81.8,2.0,0.5,0.2,0.2,0.4,1,0,14.73
,Nathan KnightMIN,F,37,7.2,3.7,1.2,2.4,51.1,0.1,0.4,30.8,1.2,1.6,73.3,2.3,0.6,0.2,0.2,0.5,1,0,18.72
,Cheick DialloDET,F,3,10.3,3.7,1.0,2.7,37.5,0.0,0.0,0.0,1.7,2.0,83.3,4.0,0.0,0.3,0.0,0.3,0,0,12.32
,KZ OkpalaMIA,SF,21,11.6,3.7,1.4,3.3,43.5,0.4,1.2,34.6,0.4,0.5,72.7,2.0,0.7,0.2,0.3,0.2,0,0,10.49
,Enes FreedomBOS,C,35,11.7,3.7,1.5,2.8,52.6,0.1,0.1,40.0,0.7,0.8,85.7,4.6,0.2,0.1,0.4,0.6,2,0,15.03
,Brad WanamakerIND/WSH,PG,23,13.9,3.6,1.2,3.3,36.4,0.2,0.7,23.5,1.0,1.1,92.0,1.7,2.4,0.3,0.3,1.0,0,0,7.53
,Tomas SatoranskySA/NO/WSH,SG,55,16.5,3.6,1.3,3.5,37.7,0.2,1.0,20.8,0.8,1.0,79.6,2.3,3.3,0.5,0.1,0.8,1,0,10.19
,Isaiah JoePHI,SG,55,11.1,3.6,1.1,3.2,35.0,0.8,2.5,33.3,0.5,0.6,93.5,1.0,0.6,0.3,0.1,0.3,0,0,7.71
,Thanasis AntetokounmpoMIL,SF,48,9.9,3.6,1.5,2.7,54.7,0.0,0.3,14.3,0.6,1.0,63.0,2.1,0.5,0.3,0.3,0.5,0,0,12.57
,Tony SnellPOR/NO,SF,53,15.5,3.5,1.3,3.2,40.4,0.8,2.4,35.2,0.1,0.1,100.0,1.9,0.5,0.3,0.2,0.4,0,0,6.37
,Jarrett CulverMEM,G,37,9.1,3.5,1.4,3.6,37.8,0.3,1.3,25.5,0.4,0.9,47.1,1.3,0.9,0.5,0.1,0.5,0,0,8.72
,Gorgui DiengATL,C,44,8.4,3.5,1.2,2.5,47.3,0.7,1.5,42.6,0.4,0.6,73.1,2.8,0.8,0.3,0.3,0.5,0,0,17.38
,Elijah HughesPOR/UTAH,F,36,12.1,3.5,1.3,4.0,32.6,0.7,2.6,26.3,0.2,0.3,77.8,1.6,0.6,0.4,0.2,0.5,0,0,5.46
,Paul MillsapBKN/PHI,PF,33,11.4,3.5,1.4,3.5,39.1,0.2,1.1,22.9,0.5,0.7,70.8,3.5,0.9,0.3,0.4,0.6,0,0,10.79
,Alfonzo McKinnieCHI,F,17,12.1,3.5,1.4,3.6,39.3,0.5,1.6,33.3,0.1,0.5,25.0,1.9,0.3,0.1,0.2,0.4,0,0,5.68
,Paul WatsonOKC,SG,9,17.3,3.4,1.3,3.9,34.3,0.7,2.9,23.1,0.1,0.2,50.0,3.0,0.9,0.3,0.3,0.4,0,0,5.72
,Nerlens NoelNY,C,25,22.5,3.4,1.3,2.4,53.3,0.0,0.1,0.0,0.8,1.2,70.0,5.6,0.9,1.2,1.2,0.8,0,0,11.81
,Kent BazemoreLAL,SF,39,14.0,3.4,1.2,3.6,32.4,0.7,2.1,36.3,0.3,0.4,76.5,1.8,0.9,0.6,0.2,0.5,0,0,6.04
,Tyler CookCHI,F,20,10.0,3.4,1.2,1.9,60.5,0.0,0.0,0.0,1.1,1.6,65.6,2.7,0.2,0.2,0.2,0.4,0,0,13.04
,Tremont WatersWSH/TOR,G,3,16.7,3.3,1.3,4.7,28.6,0.7,3.0,22.2,0.0,0.0,0.0,1.3,2.3,1.7,0.0,1.3,0,0,5.46
,Killian TillieMEM,SF,36,12.8,3.3,1.2,3.5,33.9,0.8,2.4,31.4,0.1,0.2,62.5,1.7,0.6,0.6,0.4,0.4,0,0,7.64
,Juancho HernangomezBOS/SA/UTAH,PF,40,11.1,3.3,1.1,2.7,41.5,0.6,1.7,34.8,0.5,0.9,55.9,2.5,0.5,0.4,0.3,0.4,0,0,11.56
,Semi OjeleyeLAC/MIL,PF,30,13.5,3.3,1.0,3.3,30.3,0.5,1.7,30.0,0.8,1.0,79.3,2.5,0.3,0.2,0.2,0.3,0,0,6.69
,Sterling BrownDAL,SF,49,12.8,3.3,1.2,3.2,38.1,0.6,1.9,30.4,0.3,0.3,93.3,3.0,0.7,0.3,0.1,0.5,2,0,8.46
,Tim FrazierCLE/ORL,PG,12,17.3,3.3,1.2,3.8,31.1,0.5,1.4,35.3,0.4,0.8,55.6,1.6,2.8,0.3,0.1,1.3,0,0,3.32
,Trent ForrestUTAH,G,60,12.8,3.3,1.3,2.6,49.0,0.1,0.5,18.5,0.6,0.8,79.2,1.7,1.8,0.5,0.1,0.8,0,0,10.89
,Gabriel LundbergPHX,F,4,11.0,3.3,1.3,4.8,26.3,0.8,2.0,37.5,0.0,0.0,0.0,1.8,2.8,0.8,0.0,0.8,0,0,7.73
,Daishen NixHOU,SG,24,10.9,3.2,1.1,2.8,40.3,0.3,1.1,26.9,0.7,1.3,53.3,1.4,1.7,0.6,0.0,1.1,0,0,8.13
,Dalano BantonTOR,PG,64,10.9,3.2,1.3,3.2,41.1,0.2,0.8,25.5,0.4,0.7,59.1,1.9,1.5,0.4,0.2,0.8,0,0,10.06
,Jahmi'us RamseySAC,SG,19,7.1,3.2,1.3,3.1,41.4,0.3,0.9,27.8,0.4,0.7,50.0,0.7,0.4,0.1,0.1,0.3,0,0,7.92
,Rodney HoodLAC/MIL,SG,52,13.6,3.1,1.1,3.0,36.9,0.6,1.8,33.0,0.3,0.4,89.5,1.5,0.7,0.3,0.1,0.2,0,0,7.20
,Justin RobinsonSAC/MIL/DET,F,25,12.2,3.1,1.1,3.7,30.1,0.7,2.4,29.5,0.2,0.3,50.0,0.8,1.3,0.4,0.0,0.7,0,0,3.64
,Kevin Knox IIATL/NY,SF,30,7.4,3.1,1.0,2.8,36.5,0.5,1.8,27.8,0.5,0.7,72.7,1.5,0.3,0.1,0.1,0.2,0,0,10.85
,Devontae CacokSA,PF,15,8.1,3.1,1.4,2.1,67.7,0.0,0.0,0.0,0.3,0.5,57.1,2.8,0.4,0.5,0.5,0.2,0,0,20.22
,Keljin BlevinsPOR,SF,31,11.3,3.1,1.1,3.6,30.6,0.7,2.3,29.2,0.2,0.4,54.5,1.5,0.6,0.4,0.0,0.5,0,0,4.84
,Paul ReedPHI,SF,38,8.0,3.1,1.4,2.5,56.3,0.1,0.2,25.0,0.2,0.4,42.9,2.4,0.4,0.9,0.4,0.3,0,0,21.36
,Elfrid PaytonPHX,PG,50,11.0,3.0,1.3,3.5,38.3,0.1,0.4,22.2,0.2,0.6,37.5,1.8,2.0,0.5,0.1,0.9,0,0,7.89
,Paris BassPHX,F,2,3.5,3.0,1.0,3.0,33.3,0.0,1.0,0.0,1.0,1.0,100.0,2.0,0.0,0.5,0.0,1.0,0,0,14.03
,Matt RyanBOS,F,1,5.0,3.0,1.0,5.0,20.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,3.56
,Nick RichardsCHA,C,50,7.3,3.0,1.2,1.8,66.7,0.0,0.0,0.0,0.6,0.9,69.8,1.7,0.3,0.2,0.4,0.5,0,0,15.98
,Javonte SmartMIA/MIL,G,17,11.8,3.0,1.1,3.5,31.7,0.5,1.6,29.6,0.3,0.4,83.3,1.4,0.9,0.4,0.2,0.6,0,0,5.12
,Daniel OturuTOR,C,3,9.0,3.0,1.0,2.0,50.0,0.0,0.3,0.0,1.0,1.7,60.0,1.7,0.0,0.0,0.7,0.0,0,0,13.43
,Neemias QuetaSAC,C,15,8.0,3.0,1.1,2.5,44.7,0.0,0.0,0.0,0.7,1.1,64.7,2.1,0.4,0.1,0.5,0.4,0,0,12.79
,Charles BasseyPHI,C,23,7.3,3.0,1.3,2.0,63.8,0.0,0.2,0.0,0.4,0.5,75.0,2.7,0.3,0.2,0.7,0.3,1,0,21.50
,Trevon ScottCLE,F,2,5.5,3.0,1.5,3.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0,0,20.54
,Tony BradleyCHI,C,55,10.0,3.0,1.3,2.2,58.5,0.0,0.0,0.0,0.3,0.5,65.5,3.4,0.5,0.2,0.6,0.6,0,0,14.94
,Bruno FernandoBOS/HOU,PF,30,5.1,2.9,1.2,1.8,65.5,0.0,0.1,50.0,0.5,0.8,62.5,1.8,0.2,0.0,0.4,0.5,2,0,21.25
,Denzel ValentineUTAH/CLE,G,24,9.3,2.9,1.0,2.8,37.9,0.8,2.0,40.4,0.0,0.0,0.0,1.8,0.5,0.3,0.0,0.5,0,0,8.10
,Skylar MaysATL,SG,28,7.9,2.9,1.1,2.3,50.0,0.3,0.9,32.0,0.3,0.3,88.9,0.9,0.6,0.3,0.0,0.4,1,0,11.76
,Vernon Carey Jr.WSH/CHA,C,7,6.3,2.9,1.0,1.9,53.8,0.0,0.0,0.0,0.9,1.9,46.2,1.7,0.0,0.3,0.1,0.4,0,0,15.87
,Tyler JohnsonSA/PHI,G,6,15.2,2.8,1.0,3.3,30.0,0.8,2.2,38.5,0.0,0.0,0.0,2.0,1.2,0.5,0.5,0.3,0,0,7.13
,Tyrone WallaceNO,G,6,12.5,2.8,1.2,3.3,35.0,0.3,1.3,25.0,0.2,0.8,20.0,1.3,0.2,0.5,0.2,0.3,0,0,2.57
,Aleem FordORL,F,5,14.8,2.8,1.2,4.0,30.0,0.4,3.0,13.3,0.0,0.0,0.0,3.0,0.4,0.2,0.0,0.8,0,0,0.50
,Quinndary WeatherspoonGS,SG,11,6.6,2.7,1.1,1.9,57.1,0.1,0.5,20.0,0.5,0.5,100.0,1.3,0.5,0.1,0.1,0.3,0,0,12.11
,Jay ScrubbLAC,G,18,6.7,2.7,1.0,2.6,39.1,0.3,1.2,28.6,0.4,0.6,70.0,0.9,0.4,0.2,0.2,0.4,0,0,9.30
