RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
,Jaylen NowellMIN,SG,62,15.7,8.5,3.2,6.7,47.5,1.0,2.6,39.4,1.2,1.5,78.3,2.0,2.1,0.4,0.2,0.6,0,0,16.89
,T.J. McConnellIND,PG,27,24.1,8.5,3.7,7.7,48.1,0.4,1.2,30.3,0.7,0.9,82.6,3.3,4.9,1.1,0.4,1.1,1,0,15.23
,Mitchell RobinsonNY,C,72,25.7,8.5,3.6,4.8,76.1,0.0,0.0,0.0,1.2,2.5,48.6,8.6,0.5,0.8,1.8,0.8,20,0,20.78
,Isaiah ThomasLAL/DAL/CHA,G,22,15.1,8.4,3.0,7.6,40.1,1.3,3.8,33.7,1.0,1.2,84.6,1.3,1.5,0.3,0.2,0.7,0,0,12.08
,Deni AvdijaWSH,SF,82,24.2,8.4,3.0,7.1,43.2,1.0,3.2,31.7,1.3,1.7,75.7,5.2,2.0,0.7,0.5,1.1,3,0,11.62
,Lance StephensonIND/ATL,G,46,17.7,8.3,3.2,7.0,45.5,0.6,2.0,30.0,1.4,1.7,78.8,2.8,3.6,0.5,0.1,1.6,3,0,13.68
,Nicolas BatumLAC,PF,59,24.8,8.3,3.0,6.6,46.3,1.8,4.6,40.0,0.4,0.6,65.8,4.3,1.7,1.0,0.7,0.7,0,0,13.51
,Aaron WigginsOKC,SG,50,24.2,8.3,3.1,6.7,46.3,0.8,2.8,30.4,1.2,1.7,72.9,3.6,1.4,0.6,0.2,1.1,0,0,10.29
,Landry ShametPHX,SG,69,20.8,8.3,2.8,7.0,39.4,1.8,4.8,36.8,1.0,1.2,84.0,1.8,1.6,0.4,0.1,0.6,0,0,10.23
,Isaiah StewartDET,C,71,25.6,8.3,3.5,6.9,51.0,0.2,0.6,32.6,1.0,1.5,71.8,8.7,1.2,0.3,1.1,1.2,12,0,14.05
,Isaiah HartensteinLAC,C,68,17.9,8.3,3.4,5.4,62.6,0.2,0.4,46.7,1.3,1.9,68.9,4.9,2.4,0.7,1.1,1.2,2,0,22.06
,Naz ReidMIN,C,77,15.8,8.3,3.0,6.2,49.0,0.7,2.2,34.3,1.5,1.9,76.5,3.9,0.9,0.5,0.9,1.1,4,0,17.27
,Isaiah JacksonIND,SF,36,15.0,8.3,3.2,5.7,56.3,0.1,0.4,31.3,1.7,2.4,68.2,4.1,0.3,0.7,1.4,1.1,3,0,20.60
,Corey KispertWSH,SF,77,23.4,8.2,3.0,6.7,45.5,1.5,4.2,35.0,0.7,0.8,87.1,2.7,1.1,0.5,0.3,0.6,0,0,10.96
,Hassan WhitesideUTAH,C,65,17.9,8.2,3.3,5.1,65.2,0.0,0.0,0.0,1.6,2.6,62.3,7.6,0.4,0.3,1.6,0.8,14,0,22.96
,Shake MiltonPHI,SG,55,21.4,8.2,3.1,7.3,42.9,0.8,2.4,32.3,1.1,1.3,83.6,2.6,2.5,0.5,0.3,0.8,0,0,11.93
,Otto Porter Jr.GS,SF,63,22.1,8.2,3.1,6.6,46.4,1.3,3.4,37.0,0.8,1.0,80.3,5.7,1.5,1.1,0.5,0.6,5,0,15.94
,Daniel TheisBOS/HOU,C,47,20.8,8.2,3.2,6.2,51.9,0.7,2.3,30.8,1.0,1.5,68.1,4.9,0.9,0.4,0.7,1.0,4,0,13.32
,Onyeka OkongwuATL,PF,48,20.7,8.2,3.3,4.7,69.0,0.0,0.0,0.0,1.7,2.3,72.7,5.9,1.1,0.6,1.3,0.9,1,0,19.89
,Rudy GayUTAH,SF,55,18.9,8.1,2.9,6.9,41.4,1.3,3.7,34.5,1.1,1.4,78.5,4.4,1.0,0.5,0.3,0.9,0,0,13.06
,Damian JonesSAC,C,56,18.2,8.1,3.1,4.8,65.8,0.2,0.5,34.5,1.7,2.3,71.8,4.4,1.2,0.5,0.8,1.1,2,0,18.35
,Ziaire WilliamsMEM,SG,62,21.7,8.1,3.1,6.8,45.0,1.2,3.9,31.4,0.7,0.9,78.2,2.1,1.0,0.6,0.2,0.7,0,0,9.70
,Cory JosephDET,PG,65,24.6,8.0,2.7,6.2,44.5,1.0,2.4,41.4,1.5,1.7,88.5,2.7,3.6,0.6,0.3,1.3,0,0,11.42
,Mike MuscalaOKC,C,43,13.8,8.0,2.6,5.8,45.6,1.6,3.8,42.9,1.1,1.3,84.2,3.0,0.5,0.4,0.6,0.3,0,0,19.67
,Malik NewmanCLE,G,1,8.0,8.0,3.0,5.0,60.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,1.0,0.0,0.0,1.0,0,0,28.72
,Lindy Waters IIIOKC,F,25,18.6,8.0,2.8,7.0,40.6,2.1,5.8,36.3,0.2,0.2,80.0,2.9,1.0,0.8,0.3,0.4,0,0,13.01
,Andre DrummondBKN/PHI,C,73,19.7,7.9,3.4,5.9,57.0,0.0,0.0,0.0,1.2,2.2,52.4,9.3,1.8,1.1,0.9,1.6,18,0,21.04
,Josh ChristopherHOU,SG,74,18.0,7.9,3.0,6.8,44.8,0.8,2.6,29.6,1.1,1.5,73.5,2.5,2.0,0.9,0.2,1.5,0,0,12.22
,Jordan NworaMIL,SF,62,19.1,7.9,3.0,7.5,40.3,1.3,3.7,34.8,0.6,0.7,83.7,3.6,1.0,0.4,0.3,0.9,3,0,9.96
,Grant WilliamsBOS,PF,77,24.4,7.8,2.7,5.6,47.5,1.4,3.4,41.1,1.1,1.2,90.5,3.6,1.0,0.5,0.7,0.8,1,0,11.26
,Zach CollinsSA,PF,28,17.9,7.8,2.7,5.5,49.0,0.5,1.5,34.1,1.9,2.3,80.0,5.5,2.2,0.5,0.8,1.6,1,0,16.48
,Drew EubanksPOR/SA,PF,71,17.5,7.7,3.1,5.2,59.6,0.1,0.3,21.7,1.4,1.8,76.2,5.4,1.2,0.4,0.6,1.1,7,0,18.06
,Cody MartinCHA,SF,71,26.3,7.7,2.9,6.0,48.2,0.9,2.2,38.4,1.1,1.5,70.1,4.0,2.5,1.2,0.5,0.9,0,0,12.73
